Old Name,New Name
16S ribosoml RNA,16s
16S ribosommal RNA,16s
16S ribososmal RNA,16s
16S ribososomal RNA,16s
16S ribsomal RNA,16s
16S risbosomal RNA,16s
16S rivbosomal RNA,16s
16sRNA,16s
16S rrn,16s
16Srrn,16s
16S rRNA,16s
16S-rRNA,16s
16SrRNA,16s
16S rRNA gene,16s
2S ribosomal RNA,12s
4,nad4
A6,atp6
A8,atp8
AcCOI,cox1
adenine triphosphatase subunit 6,atp6
adenine triphosphatase subunit 8,atp8
adenosine triphoshatase subunit 8,atp8
adenosine triphosphatase 6,atp6
adenosine triphosphatase 8,atp8
adenosine triphosphatase subunit 6,atp6
adenosine triphosphatase subunit 8,atp8
adenosine triphosphate subunit 6,atp6
adenosine triphosphate subunit 8,atp8
adenosine triphosphate synthase 6,atp6
adenosine triphosphate synthase 8,atp8
adenosine triphosphate synthase subunit 6,atp6
adenosine triphosphate synthase subunit 8,atp8
ADH dehydrogenase subunit 4,nad4
ApCOI,cox1
apocytochome b,cytb
apocytochrome b,cytb
apocytochrome-b,cytb
apocytyochrome b,cytb
apoprotein,cytb
APT6,atp6
apt8,atp8
APT8,atp8
AT6,atp6
AT8,atp8
ATP6ase,atp6
atp6,atp6
ATP 6,atp6
ATP-6,atp6
ATP6,atp6
ATP6 synthase,atp6
ATP8ase,atp8
atp8,atp8
ATP 8,atp8
ATP-8,atp8
ATP8,atp8
atpase 6,atp6
ATPase 6,atp6
ATPase-6,atp6
ATPase6,atp6
ATPASE6,atp6
ATPase 6 gene,atp6
ATPase 6 protein,atp6
ATPase6 protein,atp6
ATPase 6 subunit,atp6
atpase 8,atp8
ATPase 8,atp8
ATPase-8,atp8
ATPase8,atp8
ATPASE8,atp8
ATPase 8 gene,atp8
ATPase 8 protein,atp8
ATPase8 protein,atp8
ATPase,atp6
ATPase,atp8
ATPase complex subunit 6,atp6
ATPase complex subunit 8,atp8
ATPase F0 subunit 6,atp6
ATPase F0 subunit 8,atp8
ATPase subuint 6,atp6
ATPase subunit 6,atp6
ATPase subunit-6,atp6
ATPase subunit 6 (ATP6),atp6
"ATPase subunit 6, ATPase6",atp6
ATPase subunit 8,atp8
ATPase subunit-8,atp8
ATPase subunit8,atp8
ATPase subunit 8 (ATP8),atp8
ATPase subunits 6,atp6
ATPase subunits 8,atp8
ATPase subunit subunit subunit 6,atp6
ATPase subunit subunit subunit 8,atp8
ATPase synthase subunit 6,atp6
ATPase synthase subunit 8,atp8
ATP,atp6
ATP F0 synthase subunit 6,atp6
ATP F0 synthase subunit 8,atp8
ATP subunit 6,atp6
ATP subunit 8,atp8
ATP sybthase F0 subunit 6,atp6
ATP sybthase F0 subunit 8,atp8
ATP synathase F0 subunit 6,atp6
ATP synathase F0 subunit 8,atp8
ATP syntahse F0 subunit 8,atp8
ATP syntase subunit 6,atp6
ATP syntase subunit 8,atp8
ATP synthase 6,atp6
ATP-synthase 6,atp6
ATP synthase 8,atp8
ATP synthase8,atp8
ATP-synthase 8,atp8
ATP synthase A chain protein 6,atp6
ATP synthase A chain subuint 6,atp6
ATP synthase A chain subunit 6,atp6
ATP synthase F0 subunit 6,atp6
ATPsynthase F0 subunit 6,atp6
ATP synthase F0 subunit 8,atp8
ATPsynthase F0 subunit 8,atp8
ATP synthase F0 subunit g,atp6
ATP synthase F1/F0 subunit,atp6
ATP synthase F9 subunit 6,atp6
ATP synthase F9 subunit 8,atp8
ATP synthase FO subunit 6,atp6
ATP synthase FO subunit 8,atp8
ATP synthase protein 6,atp6
ATP synthase protein 8,atp8
ATP synthase subunit 6,atp6
ATP synthase subunit 8,atp8
ATP synthase subunit a,atp6
ATP synthetase F0 subunit 6,atp6
ATP synthetase F0 subunit 8,atp8
ATP synthetase subunit 6,atp6
ATP synthetase subunit 8,atp8
ATP sythase subunit 6,atp6
ATP sythase subunit 8,atp8
AyCOI,cox1
BmaCOI,cox1
BmoCOI,cox1
c01,cox1
C0I,cox1
Cb,cytb
CB,cytb
cCOII,cox2
chytochrome c oxidase subunit I,cox1
chytochrome c oxidase subunit II,cox2
chytochrome c oxidase subunit III,cox3
CjCOI,cox1
clone 39-1,nad2
clone 82-2,nad2
co1,cox1
Co1,cox1
CO 1,cox1
CO-1,cox1
CO1,cox1
CO 2,cox2
CO2,cox2
Co3,cox3
CO 3,cox3
CO3,cox3
CO3 subunit 3,cox3
cob,cytb
COI 1,cox1
coi,cox1
co I,cox1
Co I,cox1
CO I,cox1
CO-I,cox1
COI,cox1
coii,cox2
co II,cox2
Co II,cox2
CO II,cox2
CO-II,cox2
COII,cox2
coiii,cox3
Co III,cox3
CO III,cox3
CO-III,cox3
COIII,cox3
COIII protein,cox3
COIII translated region,cox3
COII protein,cox2
COI-LCO,cox1
COI-PAT,cox1
COI protein,cox1
COl,cox1
COll,cox2
cotochrome b,cytb
cox1a,cox1
cox1b,cox1
cox 1,cox1
cox-1,cox1
cox1,cox1
Cox1,cox1
COX 1,cox1
COX-1,cox1
COX1,cox1
cox-2,cox2
cox2,cox2
COX 2,cox2
COX2,cox2
cox3,cox3
Cox3,cox3
COX-3,cox3
COX3,cox3
coxA,cox1
COX,cox1
cox I,cox1
coxI,cox1
CoxI,cox1
COX-I,cox1
COXI,cox1
coxii,cox2
